epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,10.502938032150269,0.8795327246189117,12.800889015197754,1.0465970277786254
1,6.272444486618042,0.5885882079601288,7.116948795318604,0.6760412573814392
2,7.565687417984009,0.6812591254711151,8.939867877960205,0.7923211455345154
3,6.067629814147949,0.5946458280086517,8.743348407745362,0.7853265643119812
4,6.726449966430664,0.6347582340240479,6.235950565338134,0.601342362165451
5,5.33271050453186,0.5307932794094086,5.03695502281189,0.535099470615387
6,6.393906235694885,0.5981367230415344,5.624655532836914,0.5761639833450317
7,7.002468824386597,0.6507778167724609,4.786344146728515,0.4951709687709808
8,4.054436802864075,0.4424358755350113,7.774654674530029,0.7040459871292114
9,4.469498634338379,0.46108290553092957,6.659531021118164,0.6500235319137573
10,4.758373022079468,0.5049809217453003,7.535493183135986,0.701084291934967
11,6.348603248596191,0.5996901392936707,6.173724269866943,0.5922362267971039
12,6.494277000427246,0.6075896918773651,6.061838150024414,0.5791698098182678
13,4.600716829299927,0.46435678005218506,8.39406795501709,0.7426060438156128
14,3.1197186708450317,0.37600086629390717,8.280049896240234,0.7246715188026428
15,5.760798931121826,0.535581111907959,7.553415393829345,0.6776043057441712
16,3.0038846731185913,0.3716086596250534,10.865261268615722,0.9204464316368103
17,5.270880937576294,0.5192686319351196,6.47173547744751,0.5958481311798096
18,3.0730870962142944,0.3712219297885895,8.028421592712402,0.7074098944664001
19,3.2029727697372437,0.3788122683763504,3.754121446609497,0.42791975736618043
20,3.9388409852981567,0.4344751238822937,3.9482025623321535,0.45500794649124143
21,3.337252616882324,0.37724560499191284,2.555454683303833,0.3167776823043823
22,3.6624332666397095,0.4114033281803131,4.683736753463745,0.4874572455883026
23,1.8443259000778198,0.2789621502161026,5.192529201507568,0.5147668123245239
24,3.920689344406128,0.3978501856327057,6.323414993286133,0.6066236972808838
25,3.4651436805725098,0.36597710847854614,6.512670612335205,0.6290533900260925
26,4.410575687885284,0.4303644448518753,8.713782691955567,0.7833468198776246
27,3.155932664871216,0.3641902804374695,7.038941764831543,0.6591456294059753
28,4.110519170761108,0.40750715136528015,6.5239418029785154,0.6077863812446594
29,2.1062644720077515,0.28111298382282257,6.587886714935303,0.6322783589363098
