epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,158.22099165482953,10.11998159235174,5.503686141967774,0.5474028706550598
1,156.9701059514826,10.030548485842617,5.014659786224366,0.5187100231647491
2,171.63984402743253,10.945935249328613,4.866791009902954,0.5184325635433197
3,137.05134409124202,8.778432564301925,4.497883892059326,0.4806656360626221
4,147.02042596990412,9.399906635284424,5.069555997848511,0.5268979072570801
5,151.78488159179688,9.695760987021707,5.2740028381347654,0.5409605205059052
6,168.91610856489703,10.767835140228271,4.605082416534424,0.48887580037117007
7,156.97378054532138,10.021045034581965,4.9340675354003904,0.5011432528495788
8,154.60415441339666,9.857401501048695,3.986521339416504,0.43503681421279905
9,162.2575225830078,10.335262602025812,4.013241243362427,0.43746137619018555
10,157.01788399436256,10.01275803826072,5.219277000427246,0.5307268500328064
11,158.00130462646484,10.08011852611195,4.382215976715088,0.46658986806869507
12,179.60102566805753,11.419080300764604,4.35399899482727,0.45242518186569214
13,153.5152164806019,9.791568972847678,4.259323215484619,0.4347131550312042
14,186.24805173006925,11.826546755704014,4.808762454986573,0.49410706758499146
15,136.88916501131925,8.760719602758234,5.074515295028687,0.4994419813156128
16,138.52850411155006,8.855235533280807,4.377117156982422,0.45369885563850404
17,174.79053011807528,11.12646397677335,4.452599048614502,0.4785980999469757
18,159.57355776700106,10.16646940057928,4.108278036117554,0.4424508810043335
19,156.8277678056197,9.992897640575062,4.508652973175049,0.4711382269859314
20,163.8517497669567,10.435545791279186,4.130947303771973,0.44326698780059814
21,175.16100796786222,11.134270841425115,3.8653645515441895,0.41863749027252195
22,129.53953968394887,8.273807872425426,4.034894371032715,0.4277581751346588
23,175.1738676591353,11.137735366821289,4.0393391132354735,0.4407218635082245
24,151.87757179953834,9.673424764112992,4.30022439956665,0.4583945989608765
25,164.17836345325816,10.446512048894709,4.335057640075684,0.4564154088497162
26,154.8894736550071,9.870326172221791,4.26377854347229,0.4613437235355377
27,136.58303208784625,8.728145512667568,4.110474634170532,0.42762325406074525
28,146.20912309126422,9.32573162425648,4.349276542663574,0.4495179355144501
29,174.12613955411044,11.0828613801436,4.453945541381836,0.4707456588745117
